Alimento,Fosforo,Sodio,Potasio,Image
Melocotón,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.JjK0RBE0tWnguFVFAlLyKQHaGu%26pid%3DApi&f=1&ipt=be9d971a970e7934fe5020ac38eea0f5330ba14747a6e23bdc636bf7ea109400&ipo=images
Plátano,aconsejada,aconsejada,desaconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.DhccbUfW8bUEx3fBqDCJgwHaEk%26pid%3DApi&f=1&ipt=fb8d3cfc27f6a1c06d3996b168b757c39d2913cf6d4671a78a38569aa5488312&ipo=images
Frutas en su jugo (sin caldo),aconsejada,aconsejada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.qCYjpJ-2Xmy3ZMu23fD8_AHaFj%26pid%3DApi&f=1&ipt=4fe4d630501b8a22567c7169677bf67ff9fb654e43ee6f1205b9939da9b01fd0&ipo=images
Naranja,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.B_VI88q4FYIniFSwBomn3AHaFj%26pid%3DApi&f=1&ipt=a5305666ae5aacadc6861fc750d68797be221d504f812b86ce091b22398033a2&ipo=images
Uva negra,aconsejada,aconsejada,desaconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.CPyOnjvEuD93aYrvSdXuEAHaIE%26pid%3DApi&f=1&ipt=7b24aaba07f16d363010437f13545cb5512644fd7ddf9e5c3f09e29975e189b9&ipo=images
Caqui,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.T_Z_2ARLA-09EvAnsOdVQQHaFj%26pid%3DApi&f=1&ipt=8da7ec87ed03699d1aafc696660ad650408cd3d0711a0832bf2f11d52756ab50&ipo=images
Aguacate,aconsejada,aconsejada,desaconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.7dPilp3SEx3KXXDD59W69AHaGL%26pid%3DApi&f=1&ipt=0788b71064fc3aedab9d7dd772529c3f5ba2c06fb1bea07b0d81480a924412d3&ipo=images
Maracuyá,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.kgOh3JZtxdVXfy98QiPNDwHaF4%26pid%3DApi&f=1&ipt=fb5b016af376115ed12bf42571e0801e998af82d450caaada5318537117c5fd0&ipo=images
Coco,aconsejada,aconsejada,desaconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.JqJDof4HAcxgDav8ZwQN4gHaEK%26pid%3DApi&f=1&ipt=d1f3ad07a6dbbadac447f6fb413a0532a5fc9bdc185a86fca7bd2165a9422887&ipo=images
Moras,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.l_yTodctSEFy_5b68yg__gHaGc%26pid%3DApi&f=1&ipt=f3673978fbcd07257dcb988aaadcf00f6de22bba053edcbc27d05d498360fbca&ipo=images
